location,date,age_group_min,age_group_max,people_vaccinated_per_hundred
Liechtenstein,2021-12-19,40,49,73.84
Liechtenstein,2021-12-19,50,59,76.52
Liechtenstein,2021-12-19,60,69,81.3
Liechtenstein,2021-12-19,70,79,90.6
Liechtenstein,2021-12-19,80,,94.47
Liechtenstein,2021-12-26,0,9,0.05
Liechtenstein,2021-12-26,10,19,49.16
Liechtenstein,2021-12-26,20,29,71.34
Liechtenstein,2021-12-26,30,39,67.41
Liechtenstein,2021-12-26,40,49,74.15
Liechtenstein,2021-12-26,50,59,76.69
Liechtenstein,2021-12-26,60,69,81.5
Liechtenstein,2021-12-26,70,79,90.63
Liechtenstein,2021-12-26,80,,94.59
Liechtenstein,2022-01-02,0,9,0.05
Liechtenstein,2022-01-02,10,19,49.19
Liechtenstein,2022-01-02,20,29,71.38
Liechtenstein,2022-01-02,30,39,67.45
Liechtenstein,2022-01-02,40,49,74.19
Liechtenstein,2022-01-02,50,59,76.69
Liechtenstein,2022-01-02,60,69,81.5
Liechtenstein,2022-01-02,70,79,90.66
Liechtenstein,2022-01-02,80,,94.59
Liechtenstein,2022-01-09,0,9,2.27
Liechtenstein,2022-01-09,10,19,51.38
Liechtenstein,2022-01-09,20,29,71.92
Liechtenstein,2022-01-09,30,39,67.7
Liechtenstein,2022-01-09,40,49,74.34
Liechtenstein,2022-01-09,50,59,76.76
Liechtenstein,2022-01-09,60,69,81.62
Liechtenstein,2022-01-09,70,79,90.68
Liechtenstein,2022-01-09,80,,94.66
Liechtenstein,2022-01-16,0,9,2.27
Liechtenstein,2022-01-16,10,19,51.77
Liechtenstein,2022-01-16,20,29,72.23
Liechtenstein,2022-01-16,30,39,67.86
Liechtenstein,2022-01-16,40,49,74.5
Liechtenstein,2022-01-16,50,59,76.86
Liechtenstein,2022-01-16,60,69,81.72
Liechtenstein,2022-01-16,70,79,90.8
Liechtenstein,2022-01-16,80,,94.78
Liechtenstein,2022-01-23,0,9,3.25
Liechtenstein,2022-01-23,10,19,52.57
Liechtenstein,2022-01-23,20,29,72.81
Liechtenstein,2022-01-23,30,39,68.12
Liechtenstein,2022-01-23,40,49,74.71
Liechtenstein,2022-01-23,50,59,77.12
Liechtenstein,2022-01-23,60,69,81.86
Liechtenstein,2022-01-23,70,79,90.86
Liechtenstein,2022-01-23,80,,94.84
Liechtenstein,2022-01-30,0,9,3.62
Liechtenstein,2022-01-30,10,19,52.82
Liechtenstein,2022-01-30,20,29,72.83
Liechtenstein,2022-01-30,30,39,68.2
Liechtenstein,2022-01-30,40,49,74.71
Liechtenstein,2022-01-30,50,59,77.14
Liechtenstein,2022-01-30,60,69,81.9
Liechtenstein,2022-01-30,70,79,90.92
Liechtenstein,2022-01-30,80,,94.84
Liechtenstein,2022-02-06,0,9,3.83
Liechtenstein,2022-02-06,10,19,53.29
Liechtenstein,2022-02-06,20,29,73.08
Liechtenstein,2022-02-06,30,39,68.28
Liechtenstein,2022-02-06,40,49,74.76
Liechtenstein,2022-02-06,50,59,77.14
Liechtenstein,2022-02-06,60,69,82.0
Liechtenstein,2022-02-06,70,79,90.92
Liechtenstein,2022-02-06,80,,94.9
Liechtenstein,2022-02-13,0,9,3.99
Liechtenstein,2022-02-13,10,19,53.55
Liechtenstein,2022-02-13,20,29,73.1
Liechtenstein,2022-02-13,30,39,68.36
Liechtenstein,2022-02-13,40,49,74.78
Liechtenstein,2022-02-13,50,59,77.14
Liechtenstein,2022-02-13,60,69,82.02
Liechtenstein,2022-02-13,70,79,90.92
Liechtenstein,2022-02-13,80,,94.9
Liechtenstein,2022-02-20,0,9,3.99
Liechtenstein,2022-02-20,10,19,53.55
Liechtenstein,2022-02-20,20,29,73.1
Liechtenstein,2022-02-20,30,39,68.38
Liechtenstein,2022-02-20,40,49,74.78
Liechtenstein,2022-02-20,50,59,77.17
Liechtenstein,2022-02-20,60,69,82.04
Liechtenstein,2022-02-20,70,79,90.92
Liechtenstein,2022-02-20,80,,94.97
Liechtenstein,2022-02-27,0,9,4.02
Liechtenstein,2022-02-27,10,19,53.57
Liechtenstein,2022-02-27,20,29,73.14
Liechtenstein,2022-02-27,30,39,68.38
Liechtenstein,2022-02-27,40,49,74.78
Liechtenstein,2022-02-27,50,59,77.17
Liechtenstein,2022-02-27,60,69,82.04
Liechtenstein,2022-02-27,70,79,90.92
Liechtenstein,2022-02-27,80,,94.97
Liechtenstein,2022-03-06,0,9,4.02
Liechtenstein,2022-03-06,10,19,53.57
Liechtenstein,2022-03-06,20,29,73.14
Liechtenstein,2022-03-06,30,39,68.38
Liechtenstein,2022-03-06,40,49,74.78
Liechtenstein,2022-03-06,50,59,77.17
Liechtenstein,2022-03-06,60,69,82.06
Liechtenstein,2022-03-06,70,79,90.92
Liechtenstein,2022-03-06,80,,94.97
Liechtenstein,2022-03-13,0,9,4.04
Liechtenstein,2022-03-13,10,19,53.62
Liechtenstein,2022-03-13,20,29,73.17
Liechtenstein,2022-03-13,30,39,68.38
Liechtenstein,2022-03-13,40,49,74.78
Liechtenstein,2022-03-13,50,59,77.2
Liechtenstein,2022-03-13,60,69,82.08
Liechtenstein,2022-03-13,70,79,90.92
Liechtenstein,2022-03-13,80,,94.97
Liechtenstein,2022-03-20,0,9,4.04
Liechtenstein,2022-03-20,10,19,53.62
Liechtenstein,2022-03-20,20,29,73.17
Liechtenstein,2022-03-20,30,39,68.38
Liechtenstein,2022-03-20,40,49,74.78
Liechtenstein,2022-03-20,50,59,77.2
Liechtenstein,2022-03-20,60,69,82.08
Liechtenstein,2022-03-20,70,79,90.92
Liechtenstein,2022-03-20,80,,94.97
Liechtenstein,2022-03-27,0,9,4.04
Liechtenstein,2022-03-27,10,19,53.73
Liechtenstein,2022-03-27,20,29,73.19
Liechtenstein,2022-03-27,30,39,68.38
Liechtenstein,2022-03-27,40,49,74.78
Liechtenstein,2022-03-27,50,59,77.2
Liechtenstein,2022-03-27,60,69,82.08
Liechtenstein,2022-03-27,70,79,90.92
Liechtenstein,2022-03-27,80,,94.97
Liechtenstein,2022-04-03,0,9,4.04
