entity,indicator,date,value
Latvia,Weekly new ICU admissions,2020-08-09,0.0
Latvia,Weekly new hospital admissions,2020-08-16,1.9732342728828938
Latvia,Weekly new ICU admissions,2020-08-16,0.0
Latvia,Weekly new hospital admissions,2020-08-23,4.933085682207235
Latvia,Weekly new ICU admissions,2020-08-23,0.0
Latvia,Weekly new hospital admissions,2020-08-30,3.9464685457657893
Latvia,Weekly new ICU admissions,2020-08-30,0.0
Latvia,Weekly new hospital admissions,2020-09-06,4.933085682207235
Latvia,Weekly new ICU admissions,2020-09-06,0.0
Latvia,Weekly new hospital admissions,2020-09-13,5.919702818648684
Latvia,Weekly new ICU admissions,2020-09-13,0.0
Latvia,Weekly new hospital admissions,2020-09-20,6.906319955090131
Latvia,Weekly new ICU admissions,2020-09-20,0.0
Latvia,Weekly new hospital admissions,2020-09-27,5.919702818648684
Latvia,Weekly new ICU admissions,2020-09-27,0.0
Latvia,Weekly new hospital admissions,2020-10-04,25.65204554747763
Latvia,Weekly new ICU admissions,2020-10-04,3.9464685457657893
Latvia,Weekly new hospital admissions,2020-10-11,48.344239685630924
Latvia,Weekly new ICU admissions,2020-10-11,2.959851409324342
Latvia,Weekly new hospital admissions,2020-10-18,51.30409109495526
Latvia,Weekly new ICU admissions,2020-10-18,5.919702818648684
Latvia,Weekly new hospital admissions,2020-10-25,122.34052491873946
Latvia,Weekly new ICU admissions,2020-10-25,7.892937091531579
Latvia,Weekly new hospital admissions,2020-11-01,193.3769587425237
Latvia,Weekly new ICU admissions,2020-11-01,18.7457255923875
Latvia,Weekly new hospital admissions,2020-11-08,214.09591860779412
Latvia,Weekly new ICU admissions,2020-11-08,21.70557700171184
Latvia,Weekly new hospital admissions,2020-11-15,277.2394153400467
Latvia,Weekly new ICU admissions,2020-11-15,24.665428411036178
Latvia,Weekly new hospital admissions,2020-11-22,323.61042075279477
Latvia,Weekly new ICU admissions,2020-11-22,40.451302594099346
Latvia,Weekly new hospital admissions,2020-11-29,476.5360769012192
Latvia,Weekly new ICU admissions,2020-11-29,80.90260518819869
Latvia,Weekly new hospital admissions,2020-12-06,503.1747395851382
Latvia,Weekly new ICU admissions,2020-12-06,93.7286279619375
Latvia,Weekly new hospital admissions,2020-12-13,641.3011386869408
Latvia,Weekly new ICU admissions,2020-12-13,105.56803359923487
Latvia,Weekly new hospital admissions,2020-12-20,742.9227037404099
Latvia,Weekly new ICU admissions,2020-12-20,90.76877655261315
Latvia,Weekly new hospital admissions,2020-12-27,790.2803262895994
Latvia,Weekly new ICU admissions,2020-12-27,90.76877655261315
Latvia,Weekly new hospital admissions,2021-01-03,830.7316288836987
Latvia,Weekly new ICU admissions,2021-01-03,109.51450214500066
Latvia,Weekly new hospital admissions,2021-01-10,925.4468739820777
Latvia,Weekly new ICU admissions,2021-01-10,117.40743923653223
Latvia,Weekly new hospital admissions,2021-01-17,798.1732633811309
Latvia,Weekly new ICU admissions,2021-01-17,148.97918760265858
Latvia,Weekly new hospital admissions,2021-01-24,737.9896180582027
Latvia,Weekly new ICU admissions,2021-01-24,158.845358967073
Latvia,Weekly new hospital admissions,2021-01-31,698.5249326005446
Latvia,Weekly new ICU admissions,2021-01-31,160.81859323995593
Latvia,Weekly new hospital admissions,2021-02-07,635.381435868292
Latvia,Weekly new ICU admissions,2021-02-07,152.92565614842434
Latvia,Weekly new hospital admissions,2021-02-14,563.3583849080665
Latvia,Weekly new ICU admissions,2021-02-14,153.9122732848658
Latvia,Weekly new hospital admissions,2021-02-21,490.3487168113993
Latvia,Weekly new ICU admissions,2021-02-21,124.31375919162237
Latvia,Weekly new hospital admissions,2021-02-28,482.4557797198678
Latvia,Weekly new ICU admissions,2021-02-28,121.35390778229805
Latvia,Weekly new hospital admissions,2021-03-07,512.0542938131113
Latvia,Weekly new ICU admissions,2021-03-07,117.40743923653223
Latvia,Weekly new hospital admissions,2021-03-14,369.9814261655428
Latvia,Weekly new ICU admissions,2021-03-14,125.3003763280638
Latvia,Weekly new hospital admissions,2021-03-21,413.3925801689665
Latvia,Weekly new ICU admissions,2021-03-21,104.58141646279343
Latvia,Weekly new hospital admissions,2021-03-28,514.027528085994
Latvia,Weekly new ICU admissions,2021-03-28,117.40743923653223
Latvia,Weekly new hospital admissions,2021-04-04,425.2319858062639
Latvia,Weekly new ICU admissions,2021-04-04,128.26022773738816
Latvia,Weekly new hospital admissions,2021-04-11,424.2453686698223
Latvia,Weekly new ICU admissions,2021-04-11,134.17993055603682
Latvia,Weekly new hospital admissions,2021-04-18,430.1650714884711
Latvia,Weekly new ICU admissions,2021-04-18,128.26022773738816
Latvia,Weekly new hospital admissions,2021-04-25,477.5226940376606
Latvia,Weekly new ICU admissions,2021-04-25,125.3003763280638
Latvia,Weekly new hospital admissions,2021-05-02,454.8304998995073
Latvia,Weekly new ICU admissions,2021-05-02,139.1130162382441
Latvia,Weekly new hospital admissions,2021-05-09,452.8572656266243
Latvia,Weekly new ICU admissions,2021-05-09,132.20669628315395
Latvia,Weekly new hospital admissions,2021-05-16,453.84388276306584
Latvia,Weekly new ICU admissions,2021-05-16,130.23346201027107
Latvia,Weekly new hospital admissions,2021-05-23,356.16878625536253
Latvia,Weekly new ICU admissions,2021-05-23,121.35390778229805
Latvia,Weekly new hospital admissions,2021-05-30,265.40000970274934
Latvia,Weekly new ICU admissions,2021-05-30,114.44758782720788
Latvia,Weekly new hospital admissions,2021-06-06,205.21636437982104
Latvia,Weekly new ICU admissions,2021-06-06,86.82230800684738
Latvia,Weekly new hospital admissions,2021-06-13,181.53755310522627
