entity,indicator,date,value
Ireland,Daily hospital occupancy,2023-02-26,163.0
Ireland,Daily hospital occupancy,2023-03-05,137.0
Ireland,Daily hospital occupancy,2023-03-12,181.0
Ireland,Daily hospital occupancy,2023-03-19,238.0
Ireland,Daily hospital occupancy,2023-03-26,293.0
Ireland,Daily hospital occupancy,2023-04-02,285.0
Ireland,Daily hospital occupancy,2023-04-09,367.0
Ireland,Daily hospital occupancy,2023-04-16,291.0
Ireland,Daily hospital occupancy,2023-04-23,311.0
Ireland,Daily hospital occupancy,2023-04-30,263.0
Ireland,Daily hospital occupancy,2023-05-07,270.0
Ireland,Daily hospital occupancy,2023-05-14,214.0
Ireland,Daily hospital occupancy,2023-05-21,238.0
Ireland,Daily hospital occupancy,2023-05-28,267.0
Ireland,Daily hospital occupancy,2023-06-04,201.0
Ireland,Daily hospital occupancy,2023-06-11,174.0
Ireland,Daily hospital occupancy,2023-06-18,145.0
Ireland,Daily hospital occupancy,2023-06-25,107.0
Ireland,Daily hospital occupancy,2023-07-02,77.0
Ireland,Daily hospital occupancy,2023-07-09,70.0
Ireland,Daily hospital occupancy,2023-07-16,95.0
Ireland,Daily hospital occupancy,2023-07-23,130.0
Ireland,Daily hospital occupancy,2023-07-30,0.0
Ireland,Daily hospital occupancy,2023-08-06,285.0
Ireland,Daily hospital occupancy,2023-08-13,408.0
Ireland,Daily hospital occupancy,2023-08-20,404.0
Ireland,Daily hospital occupancy,2023-08-27,376.0
Ireland,Daily hospital occupancy,2023-09-03,315.0
Ireland,Daily hospital occupancy,2023-09-10,376.0
Ireland,Daily ICU occupancy,2021-01-10,88.0
Ireland,Daily ICU occupancy,2021-01-17,169.0
Ireland,Daily ICU occupancy,2021-01-24,207.0
Ireland,Daily ICU occupancy,2021-01-31,216.0
Ireland,Daily ICU occupancy,2021-02-07,199.0
Ireland,Daily ICU occupancy,2021-02-14,170.0
Ireland,Daily ICU occupancy,2021-02-21,151.0
Ireland,Daily ICU occupancy,2021-02-28,136.0
Ireland,Daily ICU occupancy,2021-03-07,112.0
Ireland,Daily ICU occupancy,2021-03-14,92.0
Ireland,Daily ICU occupancy,2021-03-21,82.0
Ireland,Daily ICU occupancy,2021-03-28,76.0
