iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
ARM,Asia,Armenia,2023-08-23,449299.0,0.0,0.0,8751.0,0.0,0.0,161590.91,0.0,0.0,3147.307,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472.0,,,,
ABW,North America,Aruba,2023-08-24,44224.0,0.0,0.0,292.0,0.0,0.0,415408.749,0.0,0.0,2742.84,0.0,0.0,,,,,,,,,,,,,,,,,,,174810.0,90473.0,84337.0,,1.0,0.0,164.2,84.98,79.22,,0.0,0.0,0.0,,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459.0,,,,
OWID_ASI,,Asia,2023-08-25,299932445.0,0.0,225.857,1632877.0,0.0,2.143,63526.391,0.0,0.048,345.847,0.0,0.0,,,,,,,,,,,,,,,,,,,9067668955.0,3684513190.0,3458310837.0,1806221800.0,29913.0,25119.0,192.06,78.04,73.25,38.26,5.0,11317.0,0.0,,,,,,,,,,,,,,,,4721383370.0,,,,
AUS,Oceania,Australia,2023-08-23,11576428.0,0.0,0.0,22696.0,0.0,0.0,442229.693,0.0,0.0,867.007,0.0,0.0,,23.0,0.879,955.0,36.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,26177410.0,,,,
AUT,Europe,Austria,2023-08-23,6081287.0,0.0,0.0,22534.0,0.0,0.0,680262.588,0.0,0.0,2520.69,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617.0,,,,
AZE,Asia,Azerbaijan,2023-08-23,832044.0,0.0,0.0,10295.0,0.0,0.0,80328.03,0.0,0.0,993.91,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,10358078.0,,,,
BHS,North America,Bahamas,2023-08-23,38084.0,0.0,0.0,844.0,0.0,0.0,92890.297,0.0,0.0,2058.592,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,409989.0,,,,
BHR,Asia,Bahrain,2023-08-23,696614.0,0.0,0.0,1536.0,0.0,0.0,473167.024,0.0,0.0,1043.31,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,1472237.0,,,,
BGD,Asia,Bangladesh,2023-08-24,2045159.0,0.0,8.0,29476.0,0.0,0.0,11946.973,0.0,0.047,172.187,0.0,0.0,,,,,,,,,,,,,,,,,,,361641212.0,151501501.0,142171951.0,68549302.0,5383.0,9874.0,211.26,88.5,83.05,40.04,58.0,2100.0,0.001,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,171186368.0,,,,
BRB,North America,Barbados,2023-08-23,109503.0,0.0,0.0,620.0,0.0,0.0,388796.574,0.0,0.0,2201.345,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646.0,,,,
