module,execution_time (sec),success,timestamp,error,error_short
cowidev.vax.incremental.dominican_republic,12.8,False,2023-09-23T07:02:15,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/commons/get.py"", line 47, in run
    module.main()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/dominican_republic.py"", line 112, in main
    DominicanRepublic().export()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/dominican_republic.py"", line 68, in export
    data = self.read().pipe(self.pipeline)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/dominican_republic.py"", line 26, in read
    metrics = self._parse_metrics(driver)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/dominican_republic.py"", line 35, in _parse_metrics
    metric_candidates = _find_potential_metrics(driver)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/dominican_republic.py"", line 91, in _find_potential_metrics
    h3 = _find_h3(driver)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/dominican_republic.py"", line 81, in _find_h3
    raise ValueError(""More than one element found!"")
ValueError: More than one element found!
",More than one element found!
cowidev.vax.incremental.el_salvador,5.79,True,2023-09-23T07:00:17,,
cowidev.vax.incremental.faeroe_islands,1.41,True,2023-09-23T07:00:13,,
cowidev.vax.incremental.fiji,0.03,True,2023-09-23T07:00:11,,
cowidev.vax.incremental.finland,0.69,True,2023-09-23T07:00:12,,
cowidev.vax.incremental.gabon,,,2023-09-23T07:00:11,,
cowidev.vax.incremental.georgia,2.42,True,2023-09-23T07:00:14,,
cowidev.vax.incremental.greenland,,,2023-09-23T07:00:12,,
cowidev.vax.incremental.guatemala,,,2023-09-23T07:00:12,,
cowidev.vax.incremental.guernsey,,,2023-09-23T07:00:12,,
cowidev.vax.incremental.hungary,57.62,True,2023-09-23T07:01:09,,
cowidev.vax.incremental.iceland,1.88,True,2023-09-23T07:00:13,,
cowidev.vax.incremental.india,1.49,True,2023-09-23T07:00:13,,
cowidev.vax.incremental.iran,,,2023-09-23T07:00:13,,
cowidev.vax.incremental.isle_of_man,2.01,True,2023-09-23T07:00:15,,
cowidev.vax.incremental.jamaica,6.02,True,2023-09-23T07:00:19,,
cowidev.vax.incremental.kazakhstan,6.63,True,2023-09-23T07:00:20,,
cowidev.vax.incremental.kosovo,,,2023-09-23T07:00:13,,
